seed,R,C,M,epsilon
97134.0,512.0,10.0,2.0,5.8113402978676725e-11
97134.0,2048.0,10.0,2.0,5.811329195637427e-11
97134.0,8192.0,10.0,2.0,5.811329195637427e-11
97134.0,32768.0,10.0,2.0,5.8113402978676725e-11
54509.0,2.0,10.0,2.0,3.903983514241816e-08
54509.0,8.0,10.0,2.0,3.903983514241816e-08
54509.0,32.0,10.0,2.0,3.903983447628434e-08
54509.0,128.0,10.0,2.0,3.903983514241816e-08
54509.0,512.0,10.0,2.0,3.903983447628434e-08
54509.0,2048.0,10.0,2.0,3.903983536446276e-08
54509.0,8192.0,10.0,2.0,3.9039835586507365e-08
54509.0,32768.0,10.0,2.0,3.903983536446276e-08
34753.0,2.0,10.0,4.0,0.0004253662502164
34753.0,8.0,10.0,4.0,0.0004253662502164
34753.0,32.0,10.0,4.0,0.0005827957439146
34753.0,128.0,10.0,4.0,0.0003974375178379
34753.0,512.0,10.0,4.0,0.0005135353307503
34753.0,2048.0,10.0,4.0,0.0004247817442222
34753.0,8192.0,10.0,4.0,0.0001936270375529
34753.0,32768.0,10.0,4.0,0.0001036925861424
932.0,2.0,10.0,4.0,1.000304751299987
932.0,8.0,10.0,4.0,0.5805436648621871
932.0,32.0,10.0,4.0,0.3488550227727367
932.0,128.0,10.0,4.0,0.1095909916313389
932.0,512.0,10.0,4.0,0.0008299139874314
932.0,2048.0,10.0,4.0,0.0006010310763449
932.0,8192.0,10.0,4.0,0.0005472812912838
932.0,32768.0,10.0,4.0,0.0010671493431109
61325.0,2.0,10.0,4.0,0.9996217850896372
61325.0,8.0,10.0,4.0,0.9996217850896416
61325.0,32.0,10.0,4.0,0.2153929059056564
61325.0,128.0,10.0,4.0,0.2151486963965748
61325.0,512.0,10.0,4.0,0.0891751522314475
61325.0,2048.0,10.0,4.0,0.0885208412443968
61325.0,8192.0,10.0,4.0,0.008348278458248
61325.0,32768.0,10.0,4.0,0.0135250108105013
85987.0,2.0,10.0,4.0,0.0004664853096214
