Seed,R,Tol,Convergence,Loss,Accuracy
44131.0,256.0,0.0001,119.0,0.5819018127567934,0.90625
44131.0,512.0,0.01,8.0,1.1038691404411878,0.44921875
44131.0,512.0,0.001,46.0,1.0654654193101523,0.48046875
44131.0,512.0,0.0001,127.0,0.5247353013521895,0.90234375
44131.0,1024.0,0.01,6.0,0.6972618792052461,0.765625
44131.0,1024.0,0.001,40.0,0.601954248145272,0.80078125
44131.0,1024.0,0.0001,160.0,0.5347120887939091,0.90234375
44131.0,2048.0,0.01,7.0,0.6217277611185688,0.80078125
44131.0,2048.0,0.001,33.0,0.5998668664582185,0.859375
44131.0,2048.0,0.0001,53.0,0.5563434641184459,0.88671875
44131.0,4096.0,0.01,10.0,0.8252505783682047,0.66796875
44131.0,4096.0,0.001,39.0,0.6239195610024957,0.7734375
44131.0,4096.0,0.0001,181.0,0.5173766665946637,0.8984375
60263.0,8.0,0.01,6.0,0.6293013590110926,0.83203125
60263.0,8.0,0.001,7.0,0.9767640531788006,0.8125
60263.0,8.0,0.0001,55.0,1.0831422654396217,0.71484375
60263.0,16.0,0.01,12.0,0.7882889279052978,0.7578125
60263.0,16.0,0.001,12.0,0.8375983423216125,0.73828125
60263.0,16.0,0.0001,151.0,0.5221750233933744,0.8671875
60263.0,32.0,0.01,17.0,0.3694968735739559,0.91796875
60263.0,32.0,0.001,26.0,0.42335881466284564,0.890625
60263.0,32.0,0.0001,134.0,0.3255241409883156,0.921875
60263.0,64.0,0.01,8.0,0.32495443030989646,0.8984375
60263.0,64.0,0.001,33.0,0.3148074135307591,0.9140625
60263.0,64.0,0.0001,38.0,0.2948437919201706,0.9453125
60263.0,128.0,0.01,11.0,0.34308262303802683,0.953125
60263.0,128.0,0.001,22.0,0.36501578352900516,0.9296875
60263.0,128.0,0.0001,82.0,0.31433587170197047,0.96484375
60263.0,256.0,0.01,12.0,1.4864057557745827,0.37109375
60263.0,256.0,0.001,46.0,0.43818034610156686,0.96484375
60263.0,256.0,0.0001,238.0,0.2965829476753442,0.953125
60263.0,512.0,0.01,2.0,1.128043938058605,0.4296875
60263.0,512.0,0.001,15.0,0.3924538046610938,0.94921875
60263.0,512.0,0.0001,141.0,0.2906552633367335,0.953125
60263.0,1024.0,0.01,7.0,2.0831088694075364,0.08984375
60263.0,1024.0,0.001,13.0,0.47017246356357933,0.89453125
60263.0,1024.0,0.0001,102.0,0.47240533681946784,0.91796875
60263.0,2048.0,0.01,12.0,0.2889755758854706,0.9609375
60263.0,2048.0,0.001,17.0,0.2905616353829742,0.9453125
60263.0,2048.0,0.0001,52.0,0.28919562061381177,0.97265625
60263.0,4096.0,0.01,4.0,0.7013454270658748,0.859375
60263.0,4096.0,0.001,57.0,0.3080354192925042,0.953125
60263.0,4096.0,0.0001,200.0,0.2888615897222358,0.93359375
