Seed,M,Tol,Convergence,Loss,Accuracy
87498.0,512.0,0.001,49.0,0.550042185577543,0.826171875
87498.0,512.0,0.0001,186.0,0.5428593324438111,0.8515625
87498.0,1024.0,0.01,11.0,0.92343038360971,0.609375
87498.0,1024.0,0.001,72.0,0.5385637793317285,0.89453125
87498.0,1024.0,0.0001,238.0,0.5262848459395923,0.94140625
87498.0,2048.0,0.01,3.0,0.87679615040372,0.55859375
87498.0,2048.0,0.001,13.0,0.7936597640367706,0.71630859375
87498.0,2048.0,0.0001,36.0,0.7736130872223662,0.73681640625
44131.0,64.0,0.01,3.0,0.8151215512718228,0.734375
44131.0,64.0,0.001,30.0,0.6708479958879945,0.8125
44131.0,64.0,0.0001,60.0,0.6208780037924362,0.90625
44131.0,128.0,0.01,8.0,0.6580777077541738,0.71875
44131.0,128.0,0.001,47.0,0.5598541895682727,0.9296875
