seed,R,C,M,train acc,test acc,epsilon,evaluations
29699.0,512.0,10.0,100.0,0.992,,0.0085573282404369,71792.0
29699.0,1024.0,10.0,100.0,0.992,,0.0057629830117422,72264.0
29699.0,2048.0,10.0,100.0,0.992,,0.0112815152434115,73586.0
29699.0,4096.0,10.0,100.0,0.992,,0.0087324867926882,73247.0
55868.0,1.0,10.0,100.0,0.984,,0.996280600787433,86302.0
55868.0,4.0,10.0,100.0,0.992,,0.3389475416872583,77950.0
55868.0,8.0,10.0,100.0,0.992,,0.1641864825866869,72986.0
55868.0,64.0,10.0,100.0,0.992,,0.0905923288441552,68783.0
55868.0,256.0,10.0,100.0,0.993,,0.0223034766936436,72993.0
55868.0,512.0,10.0,100.0,0.993,,0.0232498621136959,72247.0
55868.0,1024.0,10.0,100.0,0.994,,0.0177157448592704,73041.0
55868.0,2048.0,10.0,100.0,0.994,,0.0217652157582499,71766.0
55868.0,4096.0,10.0,100.0,0.992,,0.0006637580117427,71020.0
84485.0,1.0,10.0,100.0,0.982,,0.9829398736617284,85048.0
84485.0,4.0,10.0,100.0,0.993,,0.3030996879115538,79362.0
84485.0,8.0,10.0,100.0,0.992,,0.1352393774645637,73544.0
84485.0,64.0,10.0,100.0,0.993,,0.1006645151056654,67271.0
84485.0,256.0,10.0,100.0,0.993,,0.019084386972213,68877.0
84485.0,512.0,10.0,100.0,0.993,,0.0144606780495909,68437.0
84485.0,1024.0,10.0,100.0,0.993,,0.0069005960841408,68777.0
84485.0,2048.0,10.0,100.0,0.993,,0.0197764709404582,69280.0
84485.0,4096.0,10.0,100.0,0.993,,0.0,68247.0
17348.0,1.0,10.0,100.0,0.983,,0.9120577833135058,84611.0
17348.0,4.0,10.0,100.0,0.992,,0.317562513670344,83328.0
17348.0,8.0,10.0,100.0,0.992,,0.1231539015441571,77513.0
17348.0,64.0,10.0,100.0,0.992,,0.0931197835052067,72157.0
17348.0,256.0,10.0,100.0,0.993,,0.0253835277467702,74384.0
17348.0,512.0,10.0,100.0,0.993,,0.0152804328584339,74275.0
17348.0,1024.0,10.0,100.0,0.993,,0.0116225859809863,76235.0
17348.0,2048.0,10.0,100.0,0.993,,0.0164154658291336,76235.0
17348.0,4096.0,10.0,100.0,0.993,,0.0091182444046634,75588.0
69797.0,1.0,10.0,100.0,0.983,,1.045945092322068,83803.0
69797.0,4.0,10.0,100.0,0.993,,0.3494560097580898,79552.0
69797.0,8.0,10.0,100.0,0.993,,0.1676027957409356,74440.0
69797.0,64.0,10.0,100.0,0.993,,0.0943497139015407,67935.0
69797.0,256.0,10.0,100.0,0.993,,0.0254516099195371,70014.0
69797.0,512.0,10.0,100.0,0.993,,0.0132368630923481,69845.0
69797.0,1024.0,10.0,100.0,0.993,,0.0093914300735854,70050.0
69797.0,2048.0,10.0,100.0,0.993,,0.0164073871938095,70393.0
